curp,nombre,apellido_paterno,apellido_materno,fecha_nacimiento,edad,sexo,nivel_trabajo,casa,ahorros,cheques,credito_cantidad,credito_duracion,credito_proposito,riego
CATJ000525,Jonathan,Chavez,Tavares,2000-05-25,18,H,0,no,pequena,3500,8000,6,viaje,malo
COCS991213,Sebastian,Crossa,Cerecer,1999-12-13,19,H,1,renta,moderada,11200,22300,10,carro,malo
EALE980629,Emanuel,Estrada,Larios,1998-06-29,20,H,2,renta,grande,80900,15600,7,educacion,bueno
PEAC000409,Carolina,Perez,Alvarado,2000-04-09,19,M,3,propia,muy-grande,200150,80000,24,negocios,bueno
DOCW990511,Wayne,Dobbins,Carney,1999-05-11,19,H,3,no,muy-grande,337975,9114,20,carro,malo
SEME830430,Elliot,Snell,Moorhead,1983-04-30,35,H,2,no,pequena,865,17554,3,negocios,bueno
GOCL160803,Linda,Gonzalez,Cross,1916-08-03,102,M,3,no,alta,17744277,42555,9,radio,malo
LALK990915,Katheryn,Lasure,Law,1999-09-15,19,M,3,renta,alta,98385061,9991,16,linea blanca,bueno
MAMW040718,William,Marsh,Mason,1904-07-18,114,H,3,propia,pequena,4479,41555,9,vacaciones,malo
FARL021110,Lauren,Farmer,Robinson,1902-11-10,116,M,3,renta,moderada,44202,36506,2,muebles,bueno
MOGJ640321,Jerrie,Moses,Gross,1964-03-21,55,M,0,renta,alta,53511525,46498,2,reparaciones,malo
AASS050114,Shane,Armagost,Stoneham,1905-01-14,114,H,1,no,alta,67495749,1633,17,muebles,bueno
BODM471011,Michelle,Brogan,Douglas,1947-10-11,71,M,1,propia,pequena,8697,7991,23,reparaciones,malo
DOER670513,Rae,Droke,Eades,1967-05-13,51,M,0,propia,muy-grande,22578638,34847,21,linea blanca,bueno
CAMM711214,Margaret,Cahill,Meagher,1971-12-14,47,M,0,propia,pequena,9688,34940,7,muebles,bueno
VEBP830824,Phyllis,Vergara,Brown,1983-08-24,35,M,2,renta,muy-grande,86541232,29476,10,vacaciones,malo
BAMJ950711,Jerry,Basel,Mcadory,1995-07-11,23,H,1,propia,moderada,22481,37183,16,negocios,bueno
MARC190104,Corey,Malloy,Ray,1919-01-04,100,H,3,no,pequena,8217,27808,18,linea blanca,malo
IABE340116,Edna,Ingalls,Batarse,1934-01-16,85,M,2,no,alta,93039193,2342,24,vacaciones,bueno
COBB751221,Benjamin,Conteh,Brick,1975-12-21,43,H,2,renta,moderada,33064,12586,18,muebles,malo
BOFJ511113,James,Browning,Farner,1951-11-13,67,H,2,renta,muy-grande,45639172,566,10,otros,malo
MAMB710202,Brenda,Maynard,Mcqueen,1971-02-02,48,M,1,propia,pequena,1245,7349,22,carro,bueno
SARA210511,Amy,Sackrider,Rushing,1921-05-11,97,M,2,propia,pequena,4650,39810,13,radio,bueno
SACJ860524,Joseph,Swartwood,Campbell,1986-05-24,32,H,0,renta,pequena,9583,35099,2,otros,malo
WABM030522,Michael,Walzier,Brown,1903-05-22,115,H,2,no,alta,15499673,34712,5,vacaciones,malo
CABW310910,William,Castillo,Bath,1931-09-10,87,H,3,no,alta,97498900,4078,12,linea blanca,bueno
SIFG181212,Gary,Skinner,Fizer,1918-12-12,100,H,3,propia,pequena,5617,37358,19,reparaciones,malo
SISD940806,Donna,Sideris,Sanchez,1994-08-06,24,M,1,renta,moderada,15999,14072,11,linea blanca,malo
LOJJ940528,Jose,Long,Johnson,1994-05-28,24,H,1,renta,pequena,4052,38944,5,otros,bueno
MIAT670917,Thomas,Miller,Aldous,1967-09-17,51,H,3,propia,muy-grande,38077548,46178,12,negocios,bueno
VEBD510504,Douglas,Verhaag,Bradley,1951-05-04,67,H,2,no,moderada,11055,13870,13,muebles,malo
MATL071228,Linda,Markel,Trowbridge,1907-12-28,111,M,3,propia,muy-grande,11967514,13582,8,linea blanca,bueno
SOCK161120,Kristina,Soto,Clark,1916-11-20,102,M,0,renta,moderada,39138,16622,10,muebles,malo
SABW031030,Walter,Strawser,Bohannan,1903-10-30,115,H,0,no,muy-grande,62216405,47548,22,carro,bueno
WIMV281105,Veronica,Wilcox,Magnuson,1928-11-05,90,M,3,no,pequena,8353,21549,2,equipo,bueno
JIGM030917,Maria,Jimenez,Guzman,1903-09-17,115,M,2,renta,alta,3431052,20987,12,otros,malo
PAJC820305,Chris,Parker,John,1982-03-05,37,H,1,renta,pequena,4820,29271,14,linea blanca,malo
MOMA920409,Alvin,Moore,Mahaney,1992-04-09,27,H,3,propia,alta,66298993,688,12,equipo,bueno
KINM990131,Mary,Kimes,Newby,1999-01-31,20,M,0,renta,muy-grande,42078652,37977,6,educacion,malo
JODG650622,George,Johnson,Davis,1965-06-22,53,H,0,renta,moderada,44514,9505,14,educacion,malo
FIVJ421112,Julio,Finegan,Vanegas,1942-11-12,76,H,2,propia,moderada,29632,12791,9,otros,bueno
ROTG651109,Gloria,Roy,Terry,1965-11-09,53,M,2,propia,alta,46295049,5406,5,negocios,malo
LEMJ240606,Jose,Levy,Murray,1924-06-06,94,H,0,propia,moderada,44559,19778,18,educacion,bueno
CURG520613,George,Curran,Ramey,1952-06-13,66,H,2,renta,moderada,31454,45425,3,carro,bueno
FIBE850414,Ebony,Fitzgerald,Brown,1985-04-14,34,M,0,renta,pequena,7183,22353,18,otros,malo
SAGH680418,Henry,Sardinha,Gonzalez,1968-04-18,51,H,1,renta,alta,44825264,9818,5,vacaciones,malo
ROTC320508,Charles,Roberts,Tufte,1932-05-08,86,H,0,no,muy-grande,88701102,19251,4,educacion,bueno
DEQF960612,Frances,Dewoody,Quinn,1996-06-12,22,M,1,propia,alta,47948873,3890,13,vacaciones,bueno
FIES180101,Susan,Fine,Everett,1918-01-01,101,M,2,renta,moderada,48291,36933,9,carro,malo
